Number,Order of Magnitude,Time
825300197,8,4.074496
244445639,8,3.986432
744604401,8,3.989504
703363081,8,4.021248
373888571,8,4.877312
335944763,8,4.028416
236828293,8,4.11648
868932191,8,3.98848
755167611,8,4.857856
624315863,8,4.002816
122385281,8,3.990528
843303247,8,4.009984
739230249,8,3.990528
151627537,8,4.881408
320564369,8,4.002816
713183643,8,4.88448
330280533,8,3.990528
748675591,8,4.424704
753037183,8,4.891648
253475617,8,4.027392
307632333,8,3.98848
712998017,8,3.984384
425670853,8,4.860928
459012979,8,3.986432
322757113,8,4.431872
925164943,8,4.92032
276484269,8,4.891648
392291237,8,4.8896
927598741,8,4.005888
491308229,8,4.926464
947353643,8,3.986432
950388489,8,4.005888
610150353,8,4.022272
426000869,8,3.990528
405312969,8,4.02944
123722991,8,3.987456
735824233,8,3.987456
817192137,8,4.84864
744755137,8,3.991552
273077981,8,4.033536
489919841,8,4.616192
336714361,8,3.996672
768508257,8,3.997696
506268219,8,3.989504
495517487,8,4.021248
749694033,8,3.991552
615385797,8,3.989504
759382077,8,4.025344
124248107,8,3.984384
807677467,8,4.978688
909562077,8,4.021248
843770759,8,3.985408
548468281,8,3.992576
139988089,8,4.287488
491711121,8,4.731904
524578029,8,3.98848
708801969,8,3.987456
163164693,8,3.991552
216978327,8,3.986432
758334729,8,3.989504
402776381,8,3.98848
607116667,8,3.98848
413749349,8,3.994624
936185709,8,3.989504
790878513,8,4.00896
698710491,8,4.005888
368463473,8,3.987456
141242123,8,3.997696
104940731,8,3.98848
877378531,8,4.883456
277688901,8,3.985408
268221597,8,3.989504
907015267,8,4.405248
677665191,8,3.989504
106607223,8,4.875264
644136653,8,4.031488
955708809,8,3.989504
269021761,8,3.986432
450731709,8,3.987456
3540101327,9,3.989504
7632541563,9,3.991552
4489767613,9,3.999744
1246266899,9,3.987456
1349000341,9,4.005888
4014320351,9,4.868096
7031885733,9,3.9936
7787507729,9,4.876288
9718094693,9,3.994624
3988546481,9,4.000768
1860381203,9,3.987456
6372122349,9,3.991552
2921304367,9,4.860928
4276993011,9,4.002816
4167945229,9,3.990528
2225897439,9,3.985408
3173595281,9,4.017152
5760888067,9,3.995648
7009476799,9,3.992576
6205928587,9,3.994624
3243690161,9,3.9936
8566135363,9,3.996672
3573514361,9,3.987456
7625585453,9,3.994624
4600920031,9,4.015104
7342902967,9,3.9936
7814019869,9,3.995648
2178423051,9,3.98848
3606533841,9,3.985408
9058451331,9,3.995648
7923202653,9,4.887552
2595887903,9,3.990528
7177544183,9,3.9936
3263942031,9,3.99872
7122949003,9,3.991552
5670609859,9,3.9936
5277712019,9,3.996672
5533089597,9,4.94592
3534755409,9,3.987456
9332398347,9,3.997696
2105588707,9,3.991552
1045227753,9,3.984384
4185021443,9,3.9936
6994202113,9,3.994624
9967989791,9,4.033536
1940250291,9,3.986432
