Number,Order of Magnitude,Time
742167277018753,14,0.011
942603674667621,14,0.0002
400756244642449,14,0.0015
253446456424321,14,0.0003
768760005848993,14,0.0004
243832231990603,14,0.0014
851018257674377,14,0.0005
730913615493019,14,0.0002
534399364292069,14,0.0006
375435065657729,14,0.0002
747454109335211,14,0.0004
499195055758769,14,0.0004
466222194362917,14,0.0045
583681752836611,14,0.0002
597178636660621,14,136.554
666051900822017,14,0.0003
976357431923207,14,0.0008
508449592064671,14,0.0003
376508450567117,14,0.0002
477662328757611,14,0.0001
834108402694831,14,0.0003
373870939357403,14,0.0044
590323886603893,14,0.0003
672670430519253,14,0.0002
542797974536713,14,0.0002
740403135210287,14,0.0054
280032773163583,14,0.0002
790920416701867,14,0.0003
494116310993153,14,0.0971
441190100611941,14,0.0002
281306575237133,14,0.0003
401795709677441,14,0.0007
280810281236747,14,95.9313
277521541945093,14,8.0486
919570199843017,14,0.1357
891300898779229,14,168.655
475594424046203,14,0.0003
496490780887633,14,0.0002
120743602575599,14,0.0003
237756820186509,14,0.0002
181097192110429,14,0.0002
385380638781641,14,0.0067
496198272295277,14,0.0018
959930800518887,14,0.2617
878609985867771,14,0.0002
102939819750353,14,3.1286
869925304603489,14,8.4065
487296777650677,14,0.0113
218772091031817,14,0.0001
695466402112997,14,7.3036
896262902601359,14,0.0002
846006125836909,14,0.0008
106146968957973,14,0.0002
942636133008193,14,0.0003
230003458832089,14,0.0002
283531474604617,14,0.0016
9277979332280861,15,0.0004
4003189736599757,15,0.0003
9565796668783953,15,0.0001
5556932998400393,15,0.0002
8175153828074567,15,506.86
2841138820069749,15,0.0002
5124315871546977,15,0.0001
3773880268050291,15,0.0002
1880950522431021,15,0.0002
3979974430492263,15,0.0002
9777415987463191,15,0.0006
3300392116842187,15,19.4895
6583506274799659,15,0.0006
